epoch,performance,loss,consensus,is_warmup,stage,exact_match
0.0,58.8,11.3949,0.585,True,0,
,,,,,0,58.75
1.0,58.2,4.4995,0.369,True,0,
2.0,60.0,7.5017,0.545,True,0,
3.0,57.4,5.9402,0.651,,0,
4.0,56.9,4.2647,0.379,,0,
5.0,56.0,7.7575,0.489,,0,
6.0,57.5,2.5017,0.527,,0,
,,,,,0,57.5
7.0,59.2,3.23,0.526,,0,
8.0,61.4,3.1472,0.485,,0,
9.0,58.9,2.7535,0.46,,0,
10.0,58.6,0.903,0.478,,0,
11.0,58.3,3.6721,0.382,,0,
12.0,59.0,2.1048,0.367,,0,
,,,,,0,59.03
13.0,58.3,1.57,0.396,,0,
14.0,57.8,2.1561,0.45,,0,
15.0,60.6,1.7849,0.413,,0,
16.0,59.4,1.2745,0.588,,0,
17.0,57.5,2.726,0.384,,0,
18.0,56.9,-0.476,0.375,,0,
,,,,,0,56.94
19.0,56.8,-1.4962,0.45,,0,
,,,,,0,56.81
0.0,61.1,5.048,1.0,True,1,
,,,,,1,61.12
1.0,58.7,3.1891,1.0,True,1,
2.0,60.5,2.378,1.0,,1,
3.0,62.7,2.9022,1.0,,1,
4.0,62.9,0.9424,1.0,,1,
5.0,63.0,2.632,1.0,,1,
6.0,61.1,1.9879,1.0,,1,
,,,,,1,61.12
7.0,61.9,-1.4233,1.0,,1,
8.0,61.8,1.1613,1.0,,1,
9.0,61.9,-0.3097,1.0,,1,
10.0,62.0,0.1448,1.0,,1,
11.0,64.0,2.0798,1.0,,1,
12.0,63.3,-1.1153,1.0,,1,
,,,,,1,63.29
13.0,64.5,-0.7709,1.0,,1,
14.0,63.7,-2.4278,1.0,,1,
15.0,63.9,1.2719,1.0,,1,
,,,,,1,63.88
0.0,61.7,-7.0087,1.0,True,2,
,,,,,2,61.73
1.0,62.0,-7.0061,1.0,True,2,
2.0,61.8,-6.3221,1.0,,2,
3.0,63.2,-3.4616,1.0,,2,
4.0,63.2,-7.0676,1.0,,2,
5.0,61.4,-4.0492,1.0,,2,
6.0,62.0,1.9283,1.0,,2,
,,,,,2,62.03
7.0,62.8,0.4091,1.0,,2,
8.0,63.2,-7.4514,0.977,,2,
9.0,63.2,-9.3889,1.0,,2,
10.0,62.9,-8.6788,1.0,,2,
11.0,64.0,-8.462,1.0,,2,
12.0,63.8,-7.7106,1.0,,2,
,,,,,2,63.81
13.0,63.6,-7.2058,1.0,,2,
14.0,64.1,-8.892,1.0,,2,
15.0,63.6,-7.3205,1.0,,2,
,,,,,2,63.56
0.0,53.9,-3.0607,1.0,True,3,
,,,,,3,53.93
1.0,55.3,-1.859,1.0,,3,
2.0,56.1,-3.3783,1.0,,3,
3.0,57.7,-4.7309,1.0,,3,
4.0,57.7,-5.466,1.0,,3,
5.0,57.6,-6.1504,1.0,,3,
6.0,57.5,-0.1838,1.0,,3,
,,,,,3,57.46
7.0,58.2,-3.0257,1.0,,3,
8.0,57.0,-4.3768,1.0,,3,
9.0,59.3,-1.0176,1.0,,3,
10.0,59.7,-5.6909,1.0,,3,
11.0,60.1,-9.1543,1.0,,3,
,,,,,3,60.09
0.0,53.6,-1.7563,1.0,True,4,
,,,,,4,53.64
1.0,53.6,-2.5757,1.0,,4,
2.0,54.9,-2.027,1.0,,4,
3.0,56.2,-2.6124,1.0,,4,
4.0,56.7,-2.7996,1.0,,4,
5.0,57.2,-3.2587,1.0,,4,
6.0,57.8,-3.1994,1.0,,4,
,,,,,4,57.78
7.0,58.7,-3.7427,1.0,,4,
8.0,57.5,-1.7746,1.0,,4,
9.0,57.3,-3.5913,1.0,,4,
10.0,57.9,-3.4755,1.0,,4,
11.0,58.8,-6.0145,1.0,,4,
,,,,,4,58.8
0.0,50.5,2.1377,1.0,,5,
,,,,,5,50.52
1.0,51.4,1.5438,0.996,,5,
2.0,51.9,0.613,0.989,,5,
3.0,53.1,0.82,0.987,,5,
4.0,51.7,-0.4169,0.999,,5,
5.0,51.5,-1.3225,1.0,,5,
6.0,52.2,0.4951,1.0,,5,
,,,,,5,52.21
7.0,52.7,-0.2953,1.0,,5,
,,,,,5,52.69
